datetime,post_cum_y,preds,post_preds,post_preds_lower,post_preds_upper,preds_lower,preds_upper,post_cum_pred,post_cum_pred_lower,post_cum_pred_upper,point_effects,point_effects_lower,point_effects_upper,post_cum_effects,post_cum_effects_lower,post_cum_effects_upper
2025-06-09 22:00:00,,25457.630500963405,,,,23288.67963604626,27626.58136588055,,,,-1698.1305009634052,-3867.081365880549,470.8203639537387,,,
2025-06-09 23:00:00,,23368.50410110129,,,,21199.553249393073,25537.454952809512,,,,-2248.004101101291,-4416.954952809512,-79.0532493930732,,,
2025-06-10 00:00:00,,21139.963351881743,,,,18971.01251250917,23308.91419125432,,,,-1395.9633518817427,-3564.91419125432,772.987487490831,,,
2025-06-10 01:00:00,,19965.277826294812,,,,17796.326998442335,22134.22865414729,,,,-1154.2778262948123,-3323.2286541472895,1014.673001557665,,,
2025-06-10 02:00:00,,19144.236419493485,,,,16975.28560239948,21313.187236587488,,,,-978.7364194934853,-3147.687236587488,1190.214397600521,,,
2025-06-10 03:00:00,,18506.10684577652,,,,16337.156038729714,20675.057652823325,,,,-1115.1068457765214,-3284.057652823325,1053.843961270286,,,
2025-06-10 04:00:00,,17808.70764636214,,,,15639.756848698285,19977.658444025994,,,,-485.70764636214153,-2654.658444025994,1683.2431513017145,,,
2025-06-10 05:00:00,,17896.763687295985,,,,15727.81289839475,20065.714476197223,,,,-290.7636872959847,-2459.714476197223,1878.18710160525,,,
2025-06-10 06:00:00,,18709.930742080127,,,,16540.979961362184,20878.881522798067,,,,1678.069257919873,-490.8815227980667,3847.0200386378165,,,
2025-06-10 07:00:00,,21426.908384559953,,,,19257.95761148429,23595.85915763562,,,,2629.0916154400475,460.14084236438066,4798.042388515711,,,
2025-06-10 08:00:00,,24373.77419997036,,,,22204.82343403172,26542.724965909,,,,606.2258000296388,-1562.7249659090012,2775.1765659682787,,,
2025-06-10 09:00:00,,25052.344575918112,,,,22883.39381664465,27221.29533519158,,,,-734.3445759181122,-2903.2953351915785,1434.6061833553504,,,
2025-06-10 10:00:00,,24553.968917138096,,,,22385.018164089153,26722.91967018704,,,,-1560.468917138096,-3729.4196701870387,608.4818359108467,,,
2025-06-10 11:00:00,,23617.03596292264,,,,21448.0852156867,25785.986710158577,,,,-1732.5359629226405,-3901.486710158577,436.4147843132996,,,
2025-06-10 12:00:00,,22722.808863778286,,,,20553.858121971036,24891.759605585532,,,,-1132.3088637782857,-3301.259605585532,1036.6418780289641,,,
2025-06-10 13:00:00,,22396.41379881101,,,,20227.463062073544,24565.364535548473,,,,-1152.9137988110087,-3321.864535548473,1016.0369379264557,,,
2025-06-10 14:00:00,,22118.404965908263,,,,19949.454233905406,24287.35569791112,,,,-1463.904965908263,-3632.85569791112,705.045766094594,,,
2025-06-10 15:00:00,,21757.67419804767,,,,19588.7234704664,23926.624925628937,,,,-918.674198047669,-3087.6249256289375,1250.2765295335994,,,
2025-06-10 16:00:00,,22253.06184939102,,,,20084.111125939016,24422.012572843018,,,,92.43815060898123,-2076.5125728430176,2261.3888740609837,,,
2025-06-10 17:00:00,,23760.03977600018,,,,21591.089056404446,25928.99049559591,,,,871.9602239998203,-1296.99049559591,3040.9109435955543,,,
2025-06-10 18:00:00,,25663.70042292782,,,,23494.74970693341,27832.651138922232,,,,1037.299577072179,-1131.6511389222323,3206.2502930665905,,,
2025-06-10 19:00:00,,27188.71419529512,,,,25019.763482663937,29357.6649079263,,,,709.2858047048794,-1459.6649079263007,2878.236517336063,,,
2025-06-10 20:00:00,,27722.367354323844,,,,25553.416644833538,29891.31806381415,,,,-50.867354323843756,-2219.8180638141494,2118.083355166462,,,
2025-06-10 21:00:00,,27389.11405932965,,,,25220.16335277257,29558.064765886735,,,,-371.11405932965135,-2540.0647658867347,1797.8366472274283,,,
2025-06-10 22:00:00,,26393.19319583996,,,,24224.24249202218,28562.143899657734,,,,-637.1931958399582,-2806.1438996577344,1531.7575079778217,,,
2025-06-10 23:00:00,,24757.094960687078,,,,22588.144259427496,26926.045661946657,,,,-1488.0949606870781,-3657.0456619466568,680.8557405725041,,,
2025-06-11 00:00:00,,22464.61288614168,,,,20295.66218727117,24633.56358501219,,,,-644.1128861416801,-2813.0635850121907,1524.8378127288306,,,
2025-06-11 01:00:00,,21097.83845583819,,,,18928.887759198802,23266.78915247758,,,,140.1615441618087,-2028.7891524775805,2309.112240801198,,,
2025-06-11 02:00:00,,20491.41819779324,,,,18322.467503237465,22660.368892349008,,,,-82.4181977932385,-2251.368892349008,2086.5324967625347,,,
2025-06-11 03:00:00,,19686.146382522944,,,,17517.195689913035,21855.09707513285,,,,23.853617477056105,-2145.0970751328496,2192.8043100869654,,,
2025-06-11 04:00:00,,19130.03111166814,,,,16961.08042087545,21298.981802460832,,,,168.9688883318595,-1999.9818024608321,2337.919579124551,,,
2025-06-11 05:00:00,,18866.658016902704,,,,16697.70732780709,21035.60870599832,,,,525.3419830972962,-1643.6087059983183,2694.2926721929107,,,
2025-06-11 06:00:00,,19577.142286056962,,,,17408.191598546226,21746.0929735677,,,,1963.357713943038,-205.5929735676982,4132.308401453774,,,
2025-06-11 07:00:00,,22065.89344341362,,,,19896.942757382985,24234.84412944426,,,,2449.106556586379,280.15587055573997,4618.057242617015,,,
2025-06-11 08:00:00,,24598.269194588807,,,,22429.318509940415,26767.219879237204,,,,-96.7691945888073,-2265.7198792372037,2072.1814900595855,,,
2025-06-11 09:00:00,,24539.074794700133,,,,22370.1241113426,26708.025478057665,,,,-1073.0747947001328,-3242.025478057665,1095.8758886573996,,,
2025-06-11 10:00:00,,23578.625998859632,,,,21409.675316707617,25747.576681011644,,,,-1543.125998859632,-3712.076681011644,625.8246832923833,,,
2025-06-11 11:00:00,,22271.191850356183,,,,20102.241169329987,24440.14253138238,,,,-1327.1918503561828,-3496.1425313823784,841.7588306700127,,,
2025-06-11 12:00:00,,21417.305499290214,,,,19248.35481931541,23586.256179265023,,,,-1007.8054992902144,-3176.756179265023,1161.1451806845907,,,
